ind	AX-91100991
EB.09S.H.00364	1
EB.09S.H.00368	0
EB.09S.H.00370	1
EB.09S.H.00372	1
EB.09S.H.00373	1
EB.09S.H.00374	1
EB.09S.H.00376	1
EB.09S.H.00377	0
EB.09S.H.00378	1
EB.09S.H.00382	1
EB.09S.H.00383	0
EB.09S.H.00384	0
EB.09S.H.00385	1
EB.09S.H.00388	1
EB.09S.H.00389	0
EB.09S.H.00390	0
EB.09S.H.00393	1
EB.09S.H.00394	0
EB.09S.H.00397	1
EB.09S.H.00398	0
EB.09S.H.00399	1
EB.09S.H.00402	0
EB.09S.H.00403	1
EB.09S.H.00404	0
EB.09S.H.00407	1
EB.09S.H.00409	0
EB.09S.H.00410	1
EB.09S.H.00413	0
EB.09S.H.00414	0
EB.09S.H.00415	1
EB.09S.H.00416	1
EB.09S.H.00417	0
EB.09S.H.00418	1
EB.09S.H.00419	0
EB.09S.H.00420	0
EB.09S.H.00421	0
EB.09S.H.00424	0
EB.09S.H.00425	1
EB.09S.H.00426	1
EB.09S.H.00427	1
EB.09S.H.00429	1
EB.09S.H.00433	1
EB.09S.H.00436	1
EB.09S.H.00439	0
EB.09S.H.00442	0
EB.09S.H.00444	1
EB.09S.H.00445	1
EB.09S.H.00446	1
EB.09S.H.00448	1
EB.09S.H.00451	0
EB.09S.H.00453	0
EB.09S.H.00454	0
EB.09S.H.00455	0
EB.09S.H.00457	1
EB.09S.H.00460	1
EB.09S.H.00465	1
EB.09S.H.00469	1
EB.09S.H.00471	1
EB.09S.H.00472	1
EB.09S.H.00474	1
EB.09S.H.00476	0
EB.09S.H.00477	0
EB.09S.H.00480	1
EB.09S.H.00481	1
EB.09S.H.00482	0
EB.09S.H.00484	1
EB.09S.H.00485	1
EB.09S.H.00488	1
EB.09S.H.00492	1
EB.09S.H.00493	1
EB.09S.H.00494	1
EB.09S.H.00496	0
EB.09S.H.00498	1
EB.09S.H.00500	1
EB.09S.H.00502	0
EB.09S.H.00504	1
EB.09S.H.00506	1
EB.09S.H.00507	0
EB.09S.H.00509	1
EB.09S.H.00512	1
EB.09S.H.00513	1
EB.09S.H.00518	0
EB.09S.H.00519	1
EB.09S.H.00520	0
EB.09S.H.00522	0
EB.09S.H.00523	0
EB.09S.H.00524	1
EB.09S.H.00525	1
EB.09S.H.00530	1
EB.10H.H.00005	0
EB.10H.H.00006	0
EB.10H.H.00007	1
EB.10H.H.00018	0
EB.10H.H.00020	0
EB.10H.H.00021	1
EB.10H.H.00023	0
EB.10H.H.00024	1
EB.10H.H.00025	1
EB.10H.H.00028	0
EB.10H.H.00029	0
EB.10H.H.00030	0
EB.10H.H.00031	1
EB.10H.H.00032	1
EB.10H.H.00033	0
EB.10H.H.00034	0
EB.10H.H.00036	1
EB.10H.H.00037	1
EB.10H.H.00038	0
EB.10H.H.00040	1
EB.10H.H.00041	1
EB.10H.H.00043	1
EB.10H.H.00045	0
EB.10H.H.00046	1
EB.10H.H.00047	1
EB.10H.H.00050	1
EB.10H.H.00051	1
EB.10H.H.00052	0
EB.10H.H.00053	1
EB.10H.H.00054	0
EB.10H.H.00055	1
EB.10H.H.00056	1
EB.10H.H.00058	1
EB.10H.H.00060	0
EB.10H.H.00061	1
EB.10H.H.00062	1
EB.10H.H.00063	1
EB.10H.H.00064	0
EB.10H.H.00067	0
EB.10H.H.00071	1
EB.10H.H.00074	0
EB.10H.H.00075	1
EB.10H.H.00076	0
EB.10H.H.00077	1
EB.10H.H.00078	1
EB.10H.H.00079	1
EB.10H.H.00081	0
EB.10H.H.00083	0
EB.10H.H.00085	0
EB.10H.H.00087	0
EB.10H.H.00092	1
EB.10H.H.00095	0
EB.10H.H.00096	1
EB.10H.H.00097	1
EB.10H.H.00098	1
EB.10H.H.00099	1
EB.10H.H.00104	0
EB.10H.H.00106	0
EB.10H.H.00111	1
EB.10H.H.00114	0
EB.10H.H.00115	0
EB.10H.H.00117	0
EB.10H.H.00122	1
EB.10H.H.00126	1
EB.10H.H.00128	0
EB.10H.H.00131	1
EB.10H.H.00135	0
EB.10H.H.00137	1
EB.10H.H.00139	0
EB.10H.H.00141	0
EB.10H.H.00143	0
EB.10H.H.00144	0
EB.10H.H.00146	0
EB.10H.H.00147	1
EB.10H.H.00148	1
EB.10H.H.00149	0
EB.10H.H.00151	0
